GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
0500000US17109,17109,"McDonough County, Illinois",32612,32612,32630,32503,32538,32215,31892,31670,31387,30823
0500000US17111,17111,"McHenry County, Illinois",308760,308820,309059,308387,308170,307607,307555,307960,307972,309122
0500000US17113,17113,"McLean County, Illinois",169572,169572,169805,170776,172523,174734,173726,172718,172688,172290
0500000US17115,17115,"Macon County, Illinois",110768,110768,110777,110649,110105,109533,108529,107419,106651,105801
0500000US17117,17117,"Macoupin County, Illinois",47765,47765,47799,47733,47047,46670,46185,45846,45653,45446
0500000US17119,17119,"Madison County, Illinois",269282,269328,269339,268595,268027,267218,266526,265994,265598,265428
0500000US17121,17121,"Marion County, Illinois",39437,39437,39420,39138,39006,38671,38545,38341,38066,37902
0500000US17123,17123,"Marshall County, Illinois",12640,12640,12631,12479,12255,12122,11959,11918,11898,11730
0500000US17125,17125,"Mason County, Illinois",14666,14666,14651,14467,14318,14141,14100,13859,13706,13715
0500000US17127,17127,"Massac County, Illinois",15429,15429,15378,15277,15061,14842,14750,14565,14469,14344
0500000US17129,17129,"Menard County, Illinois",12705,12705,12696,12696,12690,12571,12507,12356,12399,12245
0500000US17131,17131,"Mercer County, Illinois",16434,16434,16410,16315,16163,16075,15902,15747,15630,15618
0500000US17133,17133,"Monroe County, Illinois",32957,32957,33003,33218,33264,33460,33534,33724,33878,34097
0500000US17135,17135,"Montgomery County, Illinois",30104,30104,30094,29856,29611,29326,29442,29230,29079,28790
0500000US17137,17137,"Morgan County, Illinois",35547,35551,35511,35485,35321,34994,34682,34542,34194,33798
0500000US17139,17139,"Moultrie County, Illinois",14846,14846,14854,14848,14866,14790,14744,14733,14599,14688
0500000US17141,17141,"Ogle County, Illinois",53497,53497,53422,53065,52790,52299,51967,51598,51168,51063
0500000US17143,17143,"Peoria County, Illinois",186494,186494,186221,186667,187192,188454,187442,186520,185296,183011
0500000US17145,17145,"Perry County, Illinois",22350,22350,22319,22260,21838,21706,21539,21422,21382,21285
0500000US17147,17147,"Piatt County, Illinois",16729,16727,16711,16679,16502,16431,16411,16352,16526,16445
0500000US17149,17149,"Pike County, Illinois",16430,16430,16394,16346,16233,16071,15956,15918,15882,15821
0500000US17151,17151,"Pope County, Illinois",4470,4470,4470,4494,4454,4452,4373,4353,4295,4325
0500000US17153,17153,"Pulaski County, Illinois",6161,6161,6126,5985,5961,5891,5795,5656,5603,5509
0500000US17155,17155,"Putnam County, Illinois",6006,6006,6012,5975,5909,5852,5830,5727,5717,5727
0500000US17157,17157,"Randolph County, Illinois",33476,33476,33459,33413,33068,33172,33132,32822,32597,32423
0500000US17159,17159,"Richland County, Illinois",16233,16233,16194,16188,16134,16013,16026,15967,15858,15901
0500000US17161,17161,"Rock Island County, Illinois",147546,147546,147617,147392,147589,147530,146965,146249,145472,144808
0500000US17163,17163,"St. Clair County, Illinois",270056,270063,270342,269976,268614,266756,265591,264217,263120,262479
0500000US17165,17165,"Saline County, Illinois",24913,24913,24901,24902,24910,24799,24496,24498,24253,24102
0500000US17167,17167,"Sangamon County, Illinois",197465,197465,197764,198970,199320,199014,198980,198634,197591,196452
0500000US17169,17169,"Schuyler County, Illinois",7544,7544,7535,7462,7455,7389,7266,7160,7053,7035
0500000US17171,17171,"Scott County, Illinois",5355,5355,5327,5228,5286,5211,5169,5109,5055,5002
0500000US17173,17173,"Shelby County, Illinois",22363,22363,22362,22282,22210,22143,22111,21829,21727,21719
0500000US17175,17175,"Stark County, Illinois",5994,5994,5972,5844,5742,5708,5603,5506,5506,5434
0500000US17177,17177,"Stephenson County, Illinois",47711,47711,47606,47316,46884,46667,46264,45670,45540,45054
0500000US17179,17179,"Tazewell County, Illinois",135394,135394,135488,135831,136112,136250,135341,134393,133967,133526
0500000US17181,17181,"Union County, Illinois",17808,17808,17733,17691,17609,17539,17398,17283,17115,17000
0500000US17183,17183,"Vermilion County, Illinois",81625,81625,81639,81399,80823,80578,79800,79187,78560,77909
0500000US17185,17185,"Wabash County, Illinois",11947,11947,11916,11789,11677,11660,11581,11599,11511,11489
0500000US17187,17187,"Warren County, Illinois",17707,17710,17719,17833,17739,17643,17656,17370,17307,17167
0500000US17189,17189,"Washington County, Illinois",14716,14716,14712,14574,14598,14414,14389,14258,14210,14030
0500000US17191,17191,"Wayne County, Illinois",16760,16760,16738,16656,16651,16660,16593,16526,16573,16495
0500000US17193,17193,"White County, Illinois",14665,14665,14600,14587,14522,14433,14267,14202,14088,13938
0500000US17195,17195,"Whiteside County, Illinois",58498,58498,58481,58272,57764,57475,57036,56945,56541,56118
0500000US17197,17197,"Will County, Illinois",677560,677520,678798,680625,682429,683833,685492,686920,689731,692661
0500000US17199,17199,"Williamson County, Illinois",66357,66362,66429,66711,66759,67424,67386,67607,67640,67328
0500000US17201,17201,"Winnebago County, Illinois",295266,295264,295088,293571,292049,290883,288670,287141,286088,284778
0500000US17203,17203,"Woodford County, Illinois",38664,38664,38670,38844,38836,39023,39067,38963,38933,38726
